Designator,Mid X,Mid Y,Rotation,Layer
C1,139.675,18.725,180.0,top
C10,41.93,79.3,270.0,top
C11,41.96,61.250001,270.0,top
C12,14.88,72.1,270.0,top
C13,7.261041,67.800001,180.0,top
C14,6.986041,74.775001,180.0,top
C17,90.755,79.3,270.0,top
C18,90.75,61.250001,270.0,top
C19,63.655,72.275,270.0,top
C2,22.3,32.775,0.0,top
C20,56.051041,67.8,180.0,top
C21,55.776041,74.775,180.0,top
C24,140.255,79.275,270.0,top
C25,140.3125,61.250001,270.0,top
C26,113.305,72.325,270.0,top
C27,105.613541,67.8,180.0,top
C28,105.338541,74.775,180.0,top
C29,118.13,73.25,270.0,top
C3,27.85,27.3,270.0,top
C30,19.68,73.05,270.0,top
C31,68.505,73.225,270.0,top
C4,71.345,32.825,0.0,top
C5,76.895,27.35,270.0,top
C6,120.7575,32.8375,0.0,top
C7,126.3075,27.3625,270.0,top
D1,3.475,27.075,90.0,top
D2,144.3375,42.325,180.0,top
D3,49.65,68.3,90.0,top
D4,23.4,39.125,0.0,top
D5,72.445,39.175,0.0,top
D6,121.8575,39.1875,0.0,top
DRA1,43.65,17.025,0.0,top
DRA2,109.8,17.025,0.0,top
J1,142.125,24.35,90.0,top
J10,82.6,70.950001,0.0,top
J11,97.5,39.375,90.0,top
J12,133.225,42.0,0.0,top
J13,133.725,83.65,0.0,top
J14,34.125,42.5,0.0,top
J15,82.8,44.3,180.0,top
J16,17.1,16.025,0.0,top
J17,27.075,15.725,0.0,top
J18,66.2,16.025,0.0,top
J19,76.175,15.8,0.0,top
J2,142.075,33.325,90.0,top
J20,115.45,15.625,0.0,top
J21,125.15,15.75,0.0,top
J22,109.55,39.525,90.0,top
J23,132.1625,70.950001,0.0,top
J3,137.225,31.625,90.0,top
J4,101.75,39.45,270.0,top
J5,66.289582,84.548268,0.0,top
J6,95.65,48.875,0.0,top
J7,133.725,87.7,0.0,top
J8,92.075,39.4,90.0,top
J9,33.81,70.950001,0.0,top
Q1,26.77,76.000001,180.0,bottom
Q2,30.8875,64.210001,0.0,bottom
Q3,75.56,76.0,180.0,bottom
Q4,79.6775,64.210001,0.0,bottom
Q5,125.1225,76.0,180.0,bottom
Q6,129.24,64.210001,0.0,bottom
R1,144.4,39.45,180.0,top
R10,23.03,71.4,90.0,top
R11,31.8875,58.380001,0.0,top
R12,26.7875,70.2,180.0,top
R13,40.685,72.712501,270.0,top
R14,40.66,67.525001,270.0,top
R15,43.51,72.700001,270.0,top
R16,43.51,67.512501,270.0,top
R17,46.31,72.750001,270.0,top
R18,46.41,67.500001,270.0,top
R19,86.4275,62.730001,90.0,top
R2,49.7,74.25,270.0,top
R20,71.755,71.4,90.0,top
R21,80.6775,58.380001,0.0,top
R22,75.35,70.3,180.0,top
R23,89.475,72.712501,270.0,top
R24,89.45,67.525001,270.0,top
R25,92.3,72.700001,270.0,top
R26,92.3,67.512501,270.0,top
R27,95.1,72.750001,270.0,top
R28,95.2,67.500001,270.0,top
R29,135.99,62.730001,90.0,top
R3,19.052556,21.88,90.0,top
R30,121.28,71.725,90.0,top
R31,130.24,58.380001,0.0,top
R32,124.95,70.65,180.0,top
R33,139.0375,72.712501,270.0,top
R34,139.0125,67.525001,270.0,top
R35,141.8625,72.700001,270.0,top
R36,141.8625,67.512501,270.0,top
R37,144.6625,72.750001,270.0,top
R38,144.7625,67.500001,270.0,top
R4,21.902556,18.93,90.0,top
R5,68.097556,21.93,90.0,top
R6,70.947556,18.98,90.0,top
R7,117.510056,21.9425,90.0,top
R8,120.360056,18.9925,90.0,top
R9,37.6375,62.730001,90.0,top
U1,23.4,26.065,270.0,top
U2,72.445,26.115,270.0,top
U3,121.8575,26.1275,270.0,top
