Designator,Mid X,Mid Y,Rotation,Layer
C1,255.43238,-29.67,180.0,top
C10,213.99,-105.46238,270.0,bottom
C11,208.67,-87.99,0.0,bottom
C2,251.29,-35.69,90.0,bottom
C3,247.42,-56.57,180.0,top
C4,241.91,-51.04,0.0,bottom
C5,238.25,-69.0,90.0,bottom
C6,151.29,-50.64,90.0,bottom
C7,221.68,-95.51,270.0,bottom
C8,150.88,-37.5825,90.0,bottom
C9,150.83,-63.71,90.0,bottom
D1,169.965,-114.825,90.0,top
D10,227.1,-95.48,270.0,bottom
D11,142.53,-42.9225,90.0,top
D12,145.3,-37.4725,270.0,bottom
D13,153.73,-37.4225,90.0,bottom
D14,142.48,-69.05,90.0,top
D15,145.25,-63.600001,270.0,bottom
D16,153.68,-63.550001,90.0,bottom
D17,221.86,-102.13238,270.0,bottom
D18,219.41,-105.43238,270.0,bottom
D19,208.75,-96.0,180.0,bottom
D2,245.39,-41.99,0.0,bottom
D20,208.7,-93.41,0.0,bottom
D21,136.625,-116.5,90.0,top
D22,131.54,-116.52,90.0,top
D23,126.5,-116.6025,90.0,top
D24,134.0,-78.43,270.0,top
D25,129.19,-78.48,270.0,top
D26,124.03,-78.56,270.0,top
D27,216.955,-57.2,180.0,top
D28,215.775,-28.175,0.0,top
D29,190.48,-31.5,180.0,top
D3,241.3025,-115.78,0.0,top
D4,234.0,-81.75,270.0,bottom
D5,231.5,-85.0,270.0,bottom
D6,142.94,-55.98,90.0,top
D7,145.71,-50.530001,270.0,bottom
D8,154.14,-50.480001,90.0,bottom
D9,229.55,-92.18,270.0,bottom
DRA1,232.375,-49.9,0.0,top
DRA2,176.35,-49.916666,0.0,top
J1,169.91,-93.27,90.0,top
J10,161.125,-101.05,270.0,bottom
J11,163.207419,-86.5,270.0,bottom
J12,164.65,-100.975,270.0,bottom
J13,219.175,-45.375,270.0,bottom
J14,209.475,-29.325,0.0,bottom
J15,197.475,-32.5,0.0,bottom
J16,165.625,-79.55,270.0,bottom
J17,168.325,-100.85,270.0,bottom
J18,168.175,-86.125,270.0,bottom
J19,259.525,-35.975,0.0,bottom
J2,126.3325,-52.0,270.0,top
J20,240.125,-34.125,0.0,bottom
J21,210.75,-53.975,270.0,bottom
J22,205.55,-54.05,270.0,bottom
J23,199.9,-54.0,270.0,bottom
J24,182.775,-103.075,90.0,bottom
J25,189.225,-84.75,270.0,bottom
J26,191.25,-103.95,270.0,bottom
J27,190.85,-62.22,0.0,top
J28,197.75,-62.22,0.0,top
J29,204.25,-62.22,0.0,top
J3,216.68,-78.645,180.0,top
J30,194.2,-68.52,0.0,top
J31,201.05,-68.545,0.0,top
J32,207.9,-68.595,0.0,top
J33,251.55,-83.8,0.0,bottom
J34,224.35,-71.55,0.0,bottom
J35,259.35,-99.95,0.0,bottom
J36,231.5,-71.55,0.0,bottom
J37,243.7,-83.75,0.0,bottom
J38,216.65,-71.65,0.0,bottom
J4,127.75,-96.6,180.0,top
J5,127.61,-101.425,270.0,top
J6,216.675,-83.995,270.0,top
J7,161.375,-65.2,90.0,bottom
J8,163.5,-51.55,270.0,bottom
J9,163.3,-38.8,270.0,bottom
L1,247.59,-48.15,270.0,bottom
R1,169.955,-109.135,90.0,bottom
R10,224.5,-95.5,270.0,bottom
R11,139.6275,-37.6225,90.0,bottom
R12,142.53,-37.5325,90.0,bottom
R13,146.4,-42.75,90.0,bottom
R15,139.5775,-63.749999,90.0,bottom
R16,142.48,-63.66,90.0,bottom
R17,146.349999,-68.8775,90.0,bottom
R19,214.0,-100.13238,90.0,bottom
R2,228.75,-79.75,90.0,bottom
R20,216.809999,-105.45238,270.0,bottom
R21,214.0,-88.0,180.0,bottom
R22,208.68,-90.809999,0.0,bottom
R23,216.775,-61.3,180.0,bottom
R24,136.625,-110.425,90.0,bottom
R25,131.575,-110.65,90.0,bottom
R26,126.48,-110.985,90.0,bottom
R27,134.0,-83.85,270.0,bottom
R28,129.125,-83.975,270.0,bottom
R29,124.075,-84.075,270.0,bottom
R3,228.75,-85.0,270.0,bottom
R30,214.575,-36.425,0.0,bottom
R31,214.575,-31.675,0.0,bottom
R32,196.05,-36.4,180.0,bottom
R33,207.625,-47.3,270.0,bottom
R34,204.675,-47.35,270.0,bottom
R35,201.675,-47.325,270.0,bottom
R36,220.1,-29.65,270.0,bottom
R37,186.3,-32.925,270.0,bottom
R38,190.85,-67.825,90.0,bottom
R39,197.8,-67.575,90.0,bottom
R4,246.8925,-115.78,0.0,bottom
R40,204.25,-67.825,90.0,bottom
R5,140.0375,-50.679999,90.0,bottom
R6,142.94,-50.59,90.0,bottom
R7,146.809999,-55.8075,90.0,bottom
R9,221.69,-90.18,90.0,bottom
U1,246.95,-35.82,270.0,bottom
U2,244.16,-67.29,90.0,bottom
U3,204.675,-38.975,270.0,bottom
